ticker,first_valid_date,last_valid_date,observations,longest_gap_days,long_history_eligible,exclusion_reason
ABBN.SW,2021-09-23,2026-09-22,1256,6.0,true,
SREN.SW,2021-09-23,2026-09-22,1256,6.0,true,
ENR.DE,2021-09-23,2026-09-22,1274,6.0,true,
DBK.DE,2021-09-23,2026-09-22,1274,6.0,true,
SCANFL.HE,2021-09-23,2026-09-22,1256,6.0,true,
CBK.DE,2021-09-23,2026-09-22,1274,6.0,true,
BNP.PA,2021-09-23,2026-09-22,1280,5.0,true,
SIE.DE,2021-09-23,2026-09-22,1274,6.0,true,
KCR.HE,2021-09-23,2026-09-22,1256,6.0,true,
GLE.PA,2021-09-23,2026-09-22,1280,5.0,true,
KEMIRA.HE,2021-09-23,2026-09-22,1256,6.0,true,
KALMAR.HE,2024-07-01,2026-09-22,559,6.0,false,history_starts_2024-07-01
VAIAS.HE,2021-09-23,2026-09-22,1256,6.0,true,
COFA.PA,2021-09-23,2026-09-22,1280,5.0,true,
WRT1V.HE,2021-09-23,2026-09-22,1256,6.0,true,
ATRAV.HE,2021-09-23,2026-09-22,1256,6.0,true,
ORNBV.HE,2021-09-23,2026-09-22,1256,6.0,true,
DB1.DE,2021-09-23,2026-09-22,1274,6.0,true,
ALV.DE,2021-09-23,2026-09-22,1274,6.0,true,
DTE.DE,2021-09-23,2026-09-22,1274,6.0,true,
EOAN.DE,2021-09-23,2026-09-22,1274,6.0,true,
SAP.DE,2021-09-23,2026-09-22,1274,6.0,true,
UNI.MI,2021-09-23,2026-09-22,1270,6.0,true,
HNR1.DE,2021-09-23,2026-09-22,1274,6.0,true,
TEL.OL,2021-09-23,2026-09-22,1256,6.0,true,
ODF.OL,2021-09-23,2026-09-22,1256,6.0,true,
ORK.OL,2021-09-23,2026-09-22,1256,6.0,true,
VEI.OL,2021-09-23,2026-09-22,1256,6.0,true,
STB.OL,2021-09-23,2026-09-22,1256,6.0,true,
VVL.OL,2021-09-23,2026-09-22,1256,6.0,true,
PROT.OL,2021-09-23,2026-09-22,1256,6.0,true,
MING.OL,2021-09-23,2026-09-22,1256,6.0,true,
TEL2-B.ST,2021-09-23,2026-09-22,1256,6.0,true,
